fixedacidity,volatileacidity,residualsugar,chlorides,totalsulfurdioxide,density,pH,alcohol
6.9,0.3,7.2,0.045,190.0,0.99595,3.22,9.4
7.1,0.23,16.5,0.04,171.0,0.999,3.16,9.1
8.2,0.28,1.8,0.031,93.0,0.9917,3.09,11.4
7.6,0.26,1.3,0.048,76.0,0.9903,2.96,12.0
10.0,0.23,14.1,0.033,166.0,0.9988,2.72,9.7
8.0,0.55,8.2,0.04,60.0,0.9956,3.09,9.5
8.4,0.2,11.8,0.055,170.0,1.0004,3.34,8.9
7.0,0.28,14.6,0.043,168.0,0.9994,3.34,8.8
6.4,0.31,2.5,0.039,137.0,0.98946,3.22,12.7
7.6,0.32,16.75,0.05,163.0,0.9999,3.15,9.2
6.4,0.24,11.5,0.05,163.0,0.9969,3.31,9.5
7.2,0.25,14.4,0.055,205.0,0.9986,3.12,9.0
6.9,0.19,3.0,0.054,99.0,0.9924,3.16,10.8
4.7,0.67,1.0,0.02,9.0,0.98722,3.3,13.6
7.5,0.305,18.9,0.059,170.0,1.0,2.99,9.0
6.0,0.27,1.7,0.02,110.0,0.9898,3.32,12.6
6.5,0.27,6.6,0.045,175.0,0.99364,3.16,10.1
6.1,0.22,1.4,0.039,129.0,0.99193,3.45,10.9
7.1,0.25,2.1,0.036,124.0,0.9908,3.28,12.2
6.2,0.28,1.7,0.029,111.0,0.99,3.24,12.1
8.3,0.2,4.45,0.044,130.0,0.9924,3.25,12.2
5.8,0.28,9.1,0.039,159.0,0.9965,3.66,10.8
6.4,0.28,12.8,0.039,150.0,0.99535,3.23,10.7
7.4,0.2,2.1,0.038,116.0,0.9949,3.49,10.3
7.6,0.29,17.5,0.041,225.0,0.9997,3.16,9.5
7.7,0.46,3.3,0.054,143.0,0.99392,3.12,10.8
6.4,0.16,1.3,0.047,77.0,0.9933,3.61,10.2
7.1,0.18,15.6,0.044,176.0,0.9996,3.38,9.0
7.0,0.32,1.5,0.039,125.0,0.9918,3.17,12.2
7.2,0.19,1.2,0.036,85.0,0.9918,3.16,10.5
6.4,0.26,1.1,0.052,176.0,0.99304,3.09,9.3
8.5,0.26,16.2,0.074,197.0,0.998,3.02,9.8
5.9,0.2,12.8,0.038,132.0,0.99426,3.31,11.8
5.8,0.28,1.2,0.058,108.0,0.99288,3.23,9.55
6.6,0.17,1.1,0.034,108.0,0.98939,3.0,11.9
6.8,0.36,1.6,0.039,124.0,0.9948,3.3,9.6
7.1,0.21,2.4,0.026,100.0,0.9903,3.15,11.4
7.7,0.26,2.6,0.045,159.0,0.99126,3.0,11.2
7.1,0.22,16.9,0.056,158.0,0.9998,3.37,9.6
5.9,0.25,11.3,0.052,165.0,0.997,3.24,9.5
7.4,0.25,13.2,0.067,178.0,0.9976,3.01,9.0
6.8,0.16,1.3,0.034,98.0,0.99058,3.02,11.3
7.1,0.55,1.7,0.073,165.0,0.994,2.97,9.2
7.4,0.28,1.5,0.034,126.0,0.9918,2.98,10.6
9.0,0.24,1.2,0.048,107.0,0.9918,3.21,12.4
6.8,0.28,8.0,0.045,123.0,0.9928,3.02,11.4
6.0,0.38,6.0,0.034,134.0,0.9912,3.38,12.3
6.3,0.27,7.7,0.048,186.0,0.9962,3.23,9.0
5.4,0.3,1.2,0.029,93.0,0.98742,3.31,13.6
6.1,0.24,1.7,0.033,134.0,0.9903,3.19,11.9
6.9,0.28,9.1,0.037,76.0,0.9948,3.05,11.1
7.2,0.26,7.0,0.023,130.0,0.99176,3.14,12.8
6.1,0.22,2.8,0.144,65.0,0.9908,2.95,11.4
7.0,0.22,10.6,0.039,117.0,0.99355,3.05,11.5
7.8,0.26,7.5,0.044,160.0,0.996,3.22,10.0
6.4,0.25,8.6,0.042,173.0,0.9965,3.0,9.1
7.2,0.21,2.7,0.033,94.0,0.99075,2.99,11.8
8.3,0.3,10.0,0.042,169.0,0.9982,3.23,9.3
6.8,0.21,18.1,0.046,133.0,1.0,3.27,8.8
8.8,0.24,10.3,0.032,97.0,0.99571,3.13,10.7
6.9,0.615,12.0,0.067,131.0,0.99727,3.19,9.3
7.3,0.18,17.3,0.055,197.0,1.0002,3.13,9.0
7.1,0.29,1.2,0.031,99.0,0.9893,3.07,12.2
7.3,0.26,5.0,0.028,107.0,0.9936,3.24,10.8
7.3,0.17,6.3,0.051,240.0,0.9963,3.36,10.0
5.3,0.24,1.3,0.033,97.0,0.9906,3.59,11.0
6.2,0.37,8.3,0.025,216.0,0.9964,3.33,9.6
6.7,0.24,9.0,0.023,109.0,0.99262,3.34,12.6
6.0,0.36,1.4,0.066,128.0,0.9934,3.26,9.3
7.6,0.2,2.6,0.044,180.0,0.9941,3.46,10.8
6.6,0.22,15.1,0.052,136.0,0.9986,2.94,9.4
5.9,0.18,1.0,0.037,88.0,0.99094,3.29,10.65
5.7,0.12,5.5,0.034,99.0,0.99324,3.09,9.9
6.8,0.31,10.5,0.043,165.0,0.9972,3.36,10.55
6.5,0.23,17.3,0.046,110.0,0.99828,3.15,9.2
5.8,0.2,1.5,0.031,57.0,0.99115,3.44,11.0
7.3,0.22,14.3,0.063,191.0,0.9978,2.89,9.0
6.2,0.21,1.2,0.051,95.0,0.99036,3.24,11.3
6.7,0.24,10.2,0.07,179.0,0.99666,2.86,8.9
6.8,0.22,1.2,0.041,182.0,0.99104,3.04,11.2
7.4,0.28,5.3,0.054,161.0,0.9941,3.12,10.3
6.9,0.13,13.3,0.05,132.0,0.99655,3.34,10.1
7.6,0.3,10.2,0.049,191.0,0.9966,3.08,9.3
6.6,0.285,11.4,0.035,137.0,0.99732,3.08,8.9
7.4,0.25,13.2,0.067,178.0,0.9976,3.01,9.0
7.5,0.24,13.1,0.05,180.0,0.99884,3.05,9.1
5.0,0.27,1.2,0.076,124.0,0.99204,3.32,10.1
6.2,0.37,6.1,0.032,86.0,0.98934,3.04,13.4
7.6,0.4,1.2,0.053,193.0,0.99164,3.22,11.6
7.7,0.3,1.2,0.048,119.0,0.99084,3.18,12.1
7.3,0.19,15.55,0.058,134.0,0.9998,3.42,9.1
6.1,0.32,10.7,0.036,98.0,0.99521,3.34,10.2
6.5,0.27,6.6,0.045,175.0,0.99364,3.16,10.1
6.4,0.28,6.0,0.051,162.0,0.994,3.15,10.2
6.7,0.48,1.4,0.021,121.0,0.9889,3.15,12.7
6.1,0.17,2.5,0.028,98.0,0.99072,3.16,11.1
7.3,0.26,17.85,0.049,195.0,1.0,3.06,9.1
7.6,0.14,1.6,0.04,103.0,0.9916,3.07,10.8
6.3,0.27,1.2,0.063,92.0,0.9911,3.38,12.2
7.6,0.31,10.5,0.04,145.0,0.9966,3.04,9.4
8.6,0.485,4.1,0.026,101.0,0.9918,3.01,12.4
6.7,0.3,12.1,0.045,127.0,0.9974,3.04,8.9
8.7,0.49,17.8,0.052,243.0,1.0007,2.98,9.0
5.1,0.52,2.7,0.052,79.0,0.9932,3.32,9.3
5.8,0.32,2.7,0.049,153.0,0.99067,3.44,12.2
4.6,0.445,1.4,0.053,178.0,0.99426,3.79,10.2
8.1,0.2,1.3,0.036,49.0,0.99242,2.99,10.3
5.9,0.24,2.0,0.033,92.0,0.99225,3.39,10.9
6.9,0.4,8.9,0.053,148.0,0.996,3.16,9.3
6.6,0.38,2.9,0.035,101.0,0.98916,3.04,12.5
7.0,0.28,14.6,0.043,168.0,0.9994,3.34,8.8
6.2,0.2,1.0,0.031,73.0,0.99035,3.24,11.3
7.0,0.15,14.7,0.051,149.0,0.99792,2.96,9.0
5.9,0.33,8.1,0.038,34.0,0.9911,3.22,12.7
7.2,0.36,5.7,0.038,98.0,0.9914,2.93,12.5
5.9,0.2,1.5,0.037,93.0,0.99021,3.36,12.0
7.4,0.26,3.7,0.032,193.0,0.99134,3.1,12.5
7.8,0.26,1.9,0.051,195.0,0.9928,3.23,10.9
6.6,0.35,10.5,0.06,82.0,0.99588,3.13,9.9
7.0,0.14,1.3,0.026,56.0,0.99352,3.46,9.9
6.8,0.18,9.8,0.039,113.0,0.99406,3.11,10.9
6.0,0.24,2.5,0.026,85.0,0.99014,3.13,11.3
7.0,0.32,6.2,0.048,228.0,0.9957,3.23,9.4
8.1,0.33,7.4,0.037,156.0,0.99592,3.19,10.6
7.6,0.39,11.7,0.084,170.0,0.99773,2.91,9.0
5.6,0.39,4.7,0.034,77.0,0.9906,3.28,12.7
6.8,0.24,1.8,0.047,105.0,0.99,3.13,12.8
6.8,0.26,7.8,0.052,214.0,0.9961,3.13,8.9
6.6,0.23,4.6,0.06,154.0,0.99142,3.23,12.2
6.5,0.22,17.1,0.05,138.0,1.0001,3.3,8.8
9.8,0.42,9.85,0.034,110.0,0.9958,2.87,10.0
7.3,0.22,9.4,0.034,134.0,0.9939,2.99,11.0
7.8,0.27,1.6,0.046,154.0,0.9927,3.05,10.5
8.1,0.27,1.3,0.045,100.0,0.99066,2.98,12.4
6.2,0.66,1.2,0.029,75.0,0.9892,3.33,12.8
6.4,0.5,2.4,0.059,112.0,0.99314,3.18,9.2
6.5,0.26,1.3,0.034,145.0,0.98944,3.16,12.4
6.1,0.3,2.1,0.031,163.0,0.9895,3.39,12.7
6.6,0.33,15.6,0.054,227.0,0.99734,3.25,10.4
6.1,0.27,7.5,0.049,243.0,0.9957,3.12,9.0
7.3,0.25,7.5,0.049,158.0,0.9965,3.43,9.6
7.1,0.26,2.2,0.044,128.0,0.9937,3.34,10.9
8.0,0.55,12.6,0.211,213.0,0.9988,2.99,9.3
8.3,0.21,2.2,0.05,108.0,0.994,2.85,9.5
6.1,0.36,15.0,0.044,115.0,0.9978,3.15,9.0
7.3,0.33,6.85,0.038,138.0,0.992,3.03,11.9
6.1,0.22,6.6,0.045,122.0,0.99415,3.22,9.9
7.4,0.64,14.15,0.168,185.0,0.9984,2.9,9.3
6.9,0.23,7.5,0.04,151.0,0.9927,3.11,11.4
8.9,0.32,1.6,0.05,131.0,0.9956,3.13,9.4
5.6,0.205,12.55,0.051,115.0,0.99564,3.4,10.8
6.6,0.25,8.1,0.045,180.0,0.9958,3.08,9.2
7.7,0.43,4.5,0.046,102.0,0.9918,3.16,12.2
7.1,0.36,1.95,0.033,118.0,0.98934,3.2,13.5
6.3,0.41,4.7,0.023,110.0,0.991,3.3,12.5
6.3,0.41,7.3,0.035,117.0,0.99172,3.2,11.94
7.0,0.21,8.5,0.033,253.0,0.9953,3.22,10.5
5.9,0.32,2.1,0.027,138.0,0.98945,3.37,12.7
7.6,0.19,1.5,0.044,114.0,0.9914,3.04,12.8
8.7,0.31,5.6,0.039,67.0,0.99328,2.96,11.0
6.5,0.27,6.6,0.045,175.0,0.99364,3.16,10.1
7.2,0.2,1.6,0.044,101.0,0.99471,3.37,10.0
7.2,0.21,10.5,0.035,122.0,0.99478,3.12,10.6
8.4,0.32,11.7,0.029,46.0,0.99439,3.02,11.8
7.9,0.27,1.7,0.034,122.0,0.99088,2.97,11.9
6.3,0.24,1.8,0.031,61.0,0.9897,3.3,12.2
7.4,0.39,7.0,0.033,126.0,0.994,3.14,10.5
7.1,0.25,2.3,0.05,156.0,0.9914,3.14,11.4
6.4,0.595,5.2,0.058,97.0,0.9951,3.38,9.0
4.7,0.335,1.3,0.036,168.0,0.99212,3.47,10.5
6.6,0.26,7.8,0.047,186.0,0.9958,3.2,9.1
8.4,0.29,1.05,0.032,55.0,0.9908,2.91,11.4
6.6,0.16,1.5,0.044,143.0,0.9912,3.54,12.4
8.1,0.24,10.5,0.03,105.0,0.99407,3.11,11.8
7.6,0.31,13.2,0.042,148.0,0.99839,2.98,9.1
6.4,0.26,8.2,0.05,182.0,0.99542,3.23,9.5
7.6,0.27,2.5,0.059,115.0,0.99328,3.09,9.8
6.9,0.32,7.8,0.042,117.0,0.996,3.23,9.2
6.4,0.32,4.9,0.034,122.0,0.9916,3.36,12.5
7.9,0.22,3.8,0.042,105.0,0.993,3.1,10.5
6.8,0.29,1.4,0.038,234.5,0.9922,3.15,10.0
6.1,0.3,1.4,0.049,187.0,0.9927,3.19,9.5
7.4,0.27,1.1,0.047,132.0,0.9914,3.19,11.6
7.9,0.35,15.6,0.072,229.0,0.99785,3.03,10.5
6.4,0.2,3.1,0.041,126.0,0.9914,3.43,12.0
6.7,0.35,8.8,0.056,167.0,0.99628,3.04,9.4
6.8,0.15,5.3,0.05,127.0,0.9942,3.4,9.7
5.6,0.26,11.4,0.029,93.0,0.99428,3.23,10.5
7.5,0.31,14.8,0.039,204.0,0.9982,3.06,9.5
7.4,0.33,7.6,0.05,227.0,0.99679,3.12,9.0
6.9,0.25,3.6,0.057,85.0,0.9942,2.99,9.5
6.0,0.32,4.8,0.041,186.0,0.99235,3.22,11.0
8.5,0.19,1.1,0.026,58.0,0.99184,2.9,10.5
6.7,0.24,12.3,0.046,145.0,0.9983,3.36,9.5
7.5,0.41,14.8,0.054,174.0,0.99898,3.18,9.7
7.2,0.31,7.2,0.046,178.0,0.9955,3.14,9.7
6.2,0.36,8.9,0.036,155.0,0.99622,3.27,9.4
6.0,0.32,1.9,0.033,142.0,0.98912,3.29,12.8
6.7,0.42,12.1,0.04,248.0,0.99794,3.31,9.7
5.9,0.36,1.3,0.047,104.0,0.9917,3.33,10.6
8.1,0.17,14.1,0.053,145.0,1.0006,3.28,8.8
6.0,0.27,5.0,0.043,170.0,0.9924,3.28,11.0
7.2,0.28,10.7,0.044,222.0,0.9972,3.14,9.1
6.7,0.31,2.1,0.038,130.0,0.9928,3.36,10.6
6.8,0.23,1.6,0.026,147.0,0.9904,3.29,12.5
7.7,0.42,8.1,0.061,144.0,0.9966,3.4,11.0
7.8,0.28,2.1,0.046,208.0,0.99434,3.23,9.8
6.3,0.32,1.5,0.037,76.0,0.98993,3.3,12.3
8.5,0.28,13.8,0.041,161.0,0.9981,3.13,9.9
7.6,0.23,1.6,0.043,129.0,0.99305,3.12,10.4
6.5,0.28,9.9,0.038,133.0,0.9954,3.11,9.8
6.3,0.28,8.45,0.031,172.0,0.9958,3.39,9.7
7.3,0.17,8.2,0.028,111.0,0.99272,3.14,12.4
6.6,0.21,2.2,0.026,104.0,0.9914,3.25,11.1
7.3,0.32,1.4,0.05,163.0,0.99244,3.24,10.7
7.2,0.37,11.6,0.032,214.0,0.9963,3.1,9.8
4.2,0.215,5.1,0.041,157.0,0.99688,3.42,8.0
5.7,0.22,16.65,0.044,110.0,0.99855,3.24,9.0
7.6,0.29,6.5,0.042,160.0,0.9944,3.14,10.7
7.3,0.32,13.3,0.06,196.0,0.9982,3.04,9.2
7.1,0.31,1.0,0.042,144.0,0.99304,3.13,9.6
6.2,0.17,4.7,0.037,133.0,0.9931,3.41,10.8
7.5,0.25,8.2,0.024,209.0,0.99563,3.12,10.8
5.6,0.18,2.3,0.04,47.0,0.99126,3.07,10.1
6.7,0.24,5.4,0.03,94.0,0.99045,3.15,12.7
6.2,0.35,18.1,0.069,158.0,0.99908,3.15,8.8
6.3,0.19,5.5,0.042,189.0,0.99304,3.19,10.3
7.0,0.3,14.9,0.032,181.0,0.9983,3.18,9.3
5.9,0.17,1.4,0.042,119.0,0.9931,3.68,10.5
7.6,0.18,2.4,0.049,123.0,0.996,3.6,10.3
6.5,0.28,15.7,0.053,190.0,0.9978,3.22,9.7
6.0,0.3,2.1,0.042,127.0,0.98964,3.32,12.5
6.5,0.29,1.7,0.04,192.0,0.9922,3.26,10.4
5.6,0.41,1.9,0.034,53.0,0.98815,3.32,13.5
5.8,0.4,4.4,0.047,245.0,0.9937,3.25,9.6
6.6,0.2,7.9,0.052,145.0,0.9947,3.32,11.0
8.6,0.55,15.55,0.057,366.5,1.0001,3.04,11.0
6.1,0.31,5.0,0.039,114.0,0.9909,3.3,12.3
6.5,0.36,1.3,0.054,107.0,0.99398,3.19,8.5
6.8,0.23,1.6,0.047,133.0,0.993,3.23,11.4
6.8,0.23,7.4,0.044,189.0,0.9958,3.22,9.3
6.8,0.32,1.0,0.049,113.0,0.99289,3.24,10.2
7.6,0.19,13.1,0.033,151.0,0.99726,3.18,10.4
5.8,0.22,1.3,0.036,68.0,0.98865,3.24,12.6
6.5,0.41,4.8,0.052,142.0,0.9946,3.14,9.2
7.4,0.24,4.3,0.032,95.0,0.992,3.09,11.1
7.4,0.19,6.7,0.037,110.0,0.9938,3.2,11.0
6.6,0.33,2.65,0.041,86.0,0.98916,3.11,13.3
7.8,0.22,10.3,0.059,99.0,0.9967,3.12,10.0
6.8,0.15,12.9,0.044,183.0,0.99742,3.24,10.2
6.5,0.28,20.4,0.041,144.0,1.0002,3.14,8.7
6.0,0.43,7.6,0.045,118.0,0.99222,3.03,11.0
6.7,0.26,6.4,0.171,200.0,0.99562,3.19,9.4
7.1,0.16,1.2,0.043,90.0,0.9925,3.16,11.0
6.7,0.16,1.3,0.036,125.0,0.98964,3.19,12.4
6.4,0.17,2.4,0.048,200.0,0.9938,3.5,9.7
6.5,0.44,5.45,0.014,137.0,0.98984,3.13,13.0
6.0,0.26,1.0,0.032,96.0,0.9896,3.38,12.3
8.4,0.35,13.8,0.048,190.0,0.9993,3.07,9.4
7.1,0.2,9.6,0.037,105.0,0.99444,3.04,10.5
6.3,0.27,7.6,0.049,200.0,0.99548,3.16,9.4
8.3,0.41,2.0,0.046,207.0,0.993,3.02,11.4
7.3,0.24,7.5,0.048,152.0,0.9962,3.1,9.0
6.0,0.28,6.2,0.028,104.0,0.99161,3.28,11.8
8.0,0.23,2.7,0.048,165.0,0.9952,3.26,9.5
5.8,0.3,3.5,0.033,116.0,0.99057,3.2,11.7
7.0,0.23,18.05,0.05,144.0,0.9999,3.22,8.8
7.2,0.23,6.1,0.067,90.0,0.99496,3.17,9.7
7.2,0.19,6.3,0.034,103.0,0.99305,3.15,11.4
5.7,0.36,6.7,0.038,166.0,0.9941,3.29,10.0
6.0,0.28,5.0,0.078,139.0,0.99494,3.1,9.0
7.6,0.3,10.6,0.039,119.0,0.99815,3.27,9.3
8.7,0.23,13.4,0.044,169.0,0.99975,3.12,8.8
6.4,0.34,1.1,0.048,84.0,0.9927,3.21,9.8
6.4,0.24,2.0,0.046,133.0,0.9908,3.12,11.4
7.5,0.42,6.9,0.041,150.0,0.99508,3.23,10.0
6.7,0.29,14.3,0.054,181.0,0.99869,3.14,9.1
6.6,0.22,4.9,0.042,180.0,0.9952,3.3,9.5
6.7,0.18,14.3,0.048,149.0,0.9975,3.12,9.7
7.3,0.22,14.3,0.063,191.0,0.9978,2.89,9.0
7.8,0.43,13.0,0.033,158.0,0.9955,3.14,11.3
6.2,0.28,7.9,0.056,206.0,0.9956,3.18,9.4
6.8,0.28,11.9,0.052,149.0,0.99544,3.02,10.4
9.1,0.33,1.7,0.062,344.0,0.9958,3.1,9.5
6.3,0.2,1.5,0.037,107.0,0.9917,3.46,11.4
6.6,0.18,1.7,0.041,161.0,0.99207,3.13,10.2
7.3,0.22,9.9,0.031,161.0,0.9937,3.01,11.2
8.8,0.27,5.0,0.024,99.0,0.9925,2.87,11.4
7.2,0.37,2.0,0.029,87.0,0.9903,3.3,12.6
6.2,0.23,17.2,0.039,130.0,0.99946,3.23,8.8
7.2,0.16,0.8,0.04,121.0,0.9922,3.27,10.0
7.2,0.24,1.2,0.037,95.0,0.98914,2.96,12.5
7.0,0.24,9.0,0.03,219.0,0.99636,3.47,10.2
6.9,0.29,5.8,0.04,112.0,0.993,3.04,11.2
6.6,0.16,1.4,0.035,186.0,0.9906,3.35,12.4
5.0,0.29,5.7,0.035,155.0,0.98976,3.27,12.9
8.2,0.29,1.0,0.044,118.0,0.9928,3.24,10.9
6.5,0.22,6.8,0.042,168.0,0.9958,3.12,9.2
5.7,0.15,3.7,0.045,151.0,0.9913,3.22,11.2
5.7,0.255,1.2,0.079,137.0,0.99307,3.2,9.4
7.5,0.31,14.8,0.039,204.0,0.9982,3.06,9.5
6.4,0.17,6.7,0.036,223.0,0.9948,3.28,10.2
6.5,0.18,1.4,0.029,138.0,0.99114,3.36,11.5
6.1,0.16,1.4,0.046,77.0,0.99319,3.66,10.3
6.0,0.13,5.7,0.038,189.5,0.9948,3.59,10.6
7.7,0.24,15.3,0.044,194.0,0.9982,3.06,9.6
6.6,0.19,1.2,0.052,181.0,0.99352,3.3,9.4
7.1,0.17,7.4,0.052,182.0,0.9958,3.35,9.6
7.1,0.2,1.5,0.049,129.0,0.99226,3.15,10.8
6.4,0.18,4.0,0.186,150.0,0.9945,3.06,9.3
6.1,0.34,2.6,0.024,105.0,0.9906,3.4,12.2
7.4,0.28,12.1,0.049,122.0,0.9973,3.01,9.0
6.2,0.33,4.8,0.052,128.0,0.99475,3.21,9.4
6.1,0.31,8.4,0.031,170.0,0.9934,3.42,11.7
7.1,0.2,6.85,0.053,211.0,0.99587,3.31,10.4
7.9,0.3,1.85,0.048,106.0,0.99331,3.24,11.85
7.2,0.47,5.9,0.048,125.0,0.99428,3.09,9.8
6.2,0.3,1.1,0.032,111.0,0.9889,2.97,12.2
6.5,0.22,3.9,0.046,106.0,0.99098,3.15,11.5
6.1,0.27,1.8,0.041,109.0,0.9929,3.08,9.0
7.3,0.22,14.75,0.042,129.5,0.9998,3.36,9.1
6.8,0.22,5.5,0.043,114.0,0.9938,3.3,10.7
6.6,0.54,16.3,0.055,182.0,0.9986,3.35,10.4
7.9,0.21,2.0,0.057,138.0,0.99176,3.05,10.9
8.0,0.26,8.2,0.038,202.0,0.99566,3.12,10.0
6.4,0.22,7.5,0.054,151.0,0.9948,3.27,10.1
6.3,0.3,7.4,0.053,149.0,0.99472,3.18,9.8
6.6,0.14,1.6,0.042,140.0,0.993,3.32,10.2
6.6,0.26,8.2,0.047,191.0,0.99541,3.16,9.5
7.6,0.26,1.6,0.068,55.0,0.9944,3.1,9.6
6.9,0.3,4.5,0.054,203.0,0.99513,3.4,10.4
7.3,0.49,5.2,0.043,104.0,0.9952,3.24,10.7
6.3,0.29,3.3,0.037,140.0,0.9895,3.17,12.8
7.4,0.2,1.9,0.035,138.0,0.991,3.17,11.7
6.0,0.32,1.9,0.033,142.0,0.98912,3.29,12.8
7.8,0.2,5.0,0.016,101.0,0.99186,2.99,11.0
8.3,0.22,1.1,0.043,116.0,0.9927,3.0,10.2
6.3,0.4,5.1,0.036,131.0,0.99186,3.24,11.3
6.6,0.17,2.6,0.03,78.0,0.99146,3.22,11.3
7.3,0.13,2.3,0.054,104.0,0.9924,3.24,11.5
5.9,0.26,12.5,0.034,152.0,0.9972,3.28,9.5
8.0,0.2,1.0,0.057,111.0,0.99158,3.09,11.2
6.7,0.25,2.9,0.057,173.0,0.9934,3.02,9.5
5.2,0.16,0.8,0.029,77.0,0.99155,3.25,10.1
7.3,0.34,3.2,0.05,136.0,0.9936,3.25,10.2
7.4,0.36,1.9,0.017,69.0,0.9892,2.93,12.5
6.0,0.31,4.8,0.04,101.0,0.98968,3.24,13.1
6.2,0.3,2.2,0.036,128.0,0.9901,3.13,11.6
6.5,0.33,8.3,0.048,174.0,0.99492,3.14,9.6
7.4,0.21,1.2,0.041,99.0,0.9927,3.19,9.8
7.2,0.32,8.25,0.02,104.0,0.99362,2.99,11.4
6.1,0.41,12.6,0.032,136.0,0.99516,2.91,10.6
6.6,0.25,1.7,0.048,124.0,0.9942,3.37,10.1
7.0,0.22,9.2,0.027,122.0,0.99228,3.06,12.5
6.7,0.22,1.2,0.038,124.0,0.99098,3.1,11.2
7.1,0.23,3.5,0.038,112.0,0.99157,3.05,11.3666666666667
7.1,0.36,4.8,0.019,114.0,0.99036,3.08,12.7
7.1,0.18,1.3,0.033,72.0,0.99072,3.05,11.3
6.7,0.13,4.2,0.043,131.0,0.99162,3.06,11.3
7.1,0.36,1.3,0.046,102.0,0.9923,3.24,10.5
9.5,0.21,1.3,0.039,123.0,0.9959,2.9,9.5
7.2,0.23,14.2,0.058,192.0,0.9979,2.98,9.0
6.7,0.11,8.8,0.043,113.0,0.9962,3.42,9.3
6.8,0.12,5.2,0.045,120.0,0.9942,3.41,9.8
6.4,0.27,7.3,0.046,206.0,0.9956,3.24,9.2
6.4,0.24,1.0,0.038,122.0,0.9906,3.3,11.5
7.8,0.43,13.0,0.033,158.0,0.9955,3.14,11.3
6.1,0.28,12.9,0.054,189.0,0.9979,3.25,9.0
6.4,0.69,7.6,0.044,144.0,0.9948,3.26,10.1
7.6,0.37,3.2,0.028,162.0,0.9903,3.01,12.4
5.9,0.13,1.9,0.05,78.0,0.9918,3.43,10.8
6.1,0.105,1.3,0.037,145.0,0.9912,3.41,11.1
7.2,0.39,11.0,0.047,178.0,0.9976,3.16,8.7
6.9,0.19,8.0,0.028,84.0,0.994,3.11,10.8
5.2,0.28,1.1,0.028,69.0,0.99168,3.24,10.0
6.5,0.26,6.65,0.059,104.0,0.99254,3.18,11.1
7.0,0.16,2.6,0.043,90.0,0.99047,2.88,11.2
6.2,0.25,7.0,0.046,176.0,0.99454,3.19,10.4
6.9,0.25,5.2,0.024,135.0,0.9948,3.16,10.7
8.1,0.28,15.4,0.059,177.0,1.0004,3.27,9.0
6.5,0.18,14.2,0.039,129.0,0.99678,3.28,10.3
6.7,0.54,7.1,0.049,178.0,0.99502,3.16,9.4
7.2,0.17,6.4,0.042,111.0,0.99278,2.99,10.8
6.2,0.345,10.1,0.056,187.0,0.99486,3.31,10.6
6.6,0.27,5.3,0.045,189.0,0.9953,3.31,9.8
7.1,0.32,4.0,0.038,170.0,0.99463,3.27,10.2
7.4,0.32,11.7,0.035,150.0,0.99578,3.1,10.4
8.5,0.17,1.0,0.024,91.0,0.993,2.79,10.1
7.0,0.24,4.2,0.04,213.0,0.9927,3.28,11.8
6.9,0.19,7.9,0.042,130.0,0.99456,3.4,10.5
8.0,0.18,1.8,0.061,145.0,0.9942,3.23,10.0
6.5,0.43,11.25,0.032,87.0,0.9922,3.02,12.4
8.2,0.38,13.6,0.042,166.0,0.99855,3.1,9.4
7.1,0.29,7.8,0.036,128.0,0.99397,3.21,10.7
8.3,0.23,3.2,0.035,101.0,0.9928,3.15,11.5
6.6,0.34,8.1,0.046,170.0,0.99494,3.15,9.53333333333333
5.0,0.24,5.0,0.043,101.0,0.99438,3.67,10.0
6.0,0.4,1.6,0.047,117.0,0.9931,3.17,10.1
6.7,0.26,7.1,0.036,100.0,0.99534,3.08,9.3
6.6,0.21,18.15,0.042,158.0,0.9997,3.28,8.7
6.9,0.27,1.7,0.047,134.0,0.9929,3.15,11.4
6.1,0.28,4.2,0.038,95.0,0.98898,2.97,13.1
6.2,0.25,11.6,0.048,210.0,0.9968,3.19,9.5
5.2,0.38,7.7,0.053,103.0,0.9925,3.27,12.2
6.1,0.28,4.7,0.03,140.0,0.99042,3.16,12.5
7.7,0.3,2.0,0.068,138.0,0.99382,3.11,9.8
7.0,0.15,14.7,0.051,149.0,0.99792,2.96,9.0
6.4,0.21,16.05,0.04,142.0,0.99678,3.11,10.6
7.7,0.28,2.4,0.044,157.0,0.99312,3.27,10.6
7.3,0.36,14.8,0.057,173.0,0.99751,3.14,10.2
7.4,0.44,11.5,0.049,157.0,0.998,3.27,9.0
8.6,0.16,7.3,0.043,63.0,0.9953,3.13,10.5
6.4,0.21,5.9,0.047,101.0,0.99278,3.15,11.0
6.1,0.22,1.85,0.031,111.0,0.98966,3.03,11.8
10.0,0.91,1.6,0.056,181.0,0.9968,3.11,10.0
5.8,0.33,16.05,0.047,166.0,0.9976,3.09,8.9
7.0,0.22,8.9,0.05,90.0,0.99556,3.29,9.8
8.0,0.23,9.2,0.044,186.0,0.997,3.09,9.5
7.1,0.25,1.6,0.046,181.0,0.9925,3.2,11.0
7.6,0.31,12.7,0.054,139.0,0.99836,3.16,9.7
6.9,0.28,12.2,0.042,139.0,0.99522,3.03,10.4
6.7,0.28,4.5,0.051,92.0,0.99224,3.36,11.9
6.4,0.27,1.9,0.085,196.0,0.99516,3.49,9.5
